symbol,strategy,date,year,cb_purity,cluster_fraction,single_tower,avg_turnover_20,ret,r,exit,score
360ONE,S1,2026-01-02,2026,0.0,0.2727272727272727,False,76.714970749,-7.000000000000004,-1.0,stop,0.9772727272727272
360ONE,S1,2026-01-05,2026,0.0,0.2727272727272727,False,76.73418108450001,-7.0000000000000115,-1.0,stop,0.9772727272727272
360ONE,S1,2026-01-06,2026,0.0,0.2727272727272727,False,73.9097283345,-7.000000000000013,-1.0,stop,0.9772727272727272
360ONE,S1,2026-01-07,2026,0.0,0.2727272727272727,False,71.77330723749999,-7.000000000000009,-1.0,stop,0.9772727272727272
360ONE,S1,2026-01-16,2026,0.0,0.2727272727272727,False,108.40938539700001,-7.000000000000013,-1.0,stop,0.9772727272727272
360ONE,S3,2025-01-10,2025,0.0,0.18181818181818182,False,71.74757283125,-7.000000000000006,-1.0,stop,0.8181818181818181
360ONE,S3,2025-01-14,2025,0.0,0.18181818181818182,False,70.89307401274999,-7.0000000000000036,-1.0,stop,0.8181818181818181
360ONE,S3,2025-01-15,2025,0.0,0.18181818181818182,False,87.97795830724999,-7.000000000000002,-1.0,stop,0.8181818181818181
360ONE,S3,2025-01-16,2025,0.0,0.18181818181818182,False,91.297192016,-7.000000000000013,-1.0,stop,0.8181818181818181
360ONE,S3,2025-01-17,2025,0.0,0.18181818181818182,False,91.31479423175,-6.999999999999998,-1.0,stop,0.8181818181818181
360ONE,S3,2025-01-21,2025,0.0,0.18181818181818182,False,84.42054655199999,-7.000000000000002,-1.0,stop,0.8181818181818181
360ONE,S3,2025-01-22,2025,0.0,0.18181818181818182,False,85.003828059,-7.000000000000014,-1.0,stop,0.8181818181818181
360ONE,S3,2025-01-23,2025,0.0,0.18181818181818182,False,80.0636218675,-7.000000000000011,-1.0,stop,0.8181818181818181
360ONE,S3,2025-01-24,2025,0.0,0.18181818181818182,False,76.5654792055,-7.000000000000004,-1.0,stop,0.8181818181818181
