symbol,strategy,date,year,cb_purity,cluster_fraction,single_tower,avg_turnover_20,ret,r,exit,score
3PLAND,S1,2025-06-02,2025,0.75,0.36363636363636365,False,0.08221953884999995,-7.000000000000008,-1.0,stop,2.0115349270695737
3PLAND,S1,2025-06-03,2025,0.75,0.36363636363636365,False,0.09446602909999996,-7.000000000000006,-1.0,stop,2.011560440590928
3PLAND,S1,2025-06-04,2025,0.75,0.36363636363636365,False,0.09853457959999995,-6.999999999999999,-1.0,stop,2.011568916737803
3PLAND,S1,2025-06-06,2025,0.6666666666666666,0.6363636363636364,False,0.11852904684999994,-7.000000000000002,-1.0,stop,2.075246935514271
3PLAND,S1,2025-06-19,2025,0.42857142857142855,0.8181818181818182,False,0.15776649054999997,-7.000000000000009,-1.0,stop,2.0753286801886457
3PLAND,S1,2025-06-20,2025,0.42857142857142855,0.8181818181818182,False,0.15769443264999997,-7.000000000000011,-1.0,stop,2.075328530068021
3PLAND,S1,2025-06-23,2025,0.42857142857142855,0.8181818181818182,False,0.15854974004999994,-7.000000000000002,-1.0,stop,2.0753303119584374
3PLAND,S1,2025-06-24,2025,0.42857142857142855,0.8181818181818182,False,0.14655069329999995,-7.000000000000013,-1.0,stop,2.075305313944375
3PLAND,S1,2025-06-25,2025,0.42857142857142855,0.8181818181818182,False,0.13464501834999995,-7.000000000000004,-1.0,stop,2.075280510454896
3PLAND,S1,2025-06-26,2025,0.42857142857142855,0.8181818181818182,False,0.12092451534999996,-7.000000000000004,-1.0,stop,2.075251926073646
3PLAND,S1,2025-06-27,2025,0.42857142857142855,0.8181818181818182,False,0.12043559794999996,-7.0000000000000115,-1.0,stop,2.0752509074957293
3PLAND,S1,2025-06-30,2025,0.42857142857142855,0.8181818181818182,False,0.11497326354999997,-7.0000000000000036,-1.0,stop,2.075239527632396
3PLAND,S1,2025-07-01,2025,0.42857142857142855,0.8181818181818182,False,0.10206844584999997,-7.0000000000000036,-1.0,stop,2.075212642595521
3PLAND,S1,2025-07-02,2025,0.42857142857142855,0.8181818181818182,False,0.09830149464999996,-7.000000000000013,-1.0,stop,2.075204794780521
3PLAND,S1,2025-07-03,2025,0.42857142857142855,0.8181818181818182,False,0.08728855369999995,-6.999999999999999,-1.0,stop,2.0751818511535416
3PLAND,S1,2025-08-11,2025,0.42857142857142855,0.8181818181818182,False,0.10533002669999995,-7.000000000000006,-1.0,stop,2.075219437555625
3PLAND,S1,2025-08-12,2025,0.42857142857142855,0.8181818181818182,False,0.11004729839999997,-7.000000000000006,-1.0,stop,2.075229265205
3PLAND,S1,2025-08-13,2025,0.42857142857142855,0.8181818181818182,False,0.12616626929999994,-7.0000000000000036,-1.0,stop,2.075262846394375
3PLAND,S1,2025-08-14,2025,0.42857142857142855,0.8181818181818182,False,0.13001975289999995,-7.000000000000008,-1.0,stop,2.0752708744852084
3PLAND,S1,2025-08-18,2025,0.42857142857142855,0.8181818181818182,False,0.14070170634999996,-7.0000000000000036,-1.0,stop,2.075293128554896
3PLAND,S1,2025-08-19,2025,0.42857142857142855,0.8181818181818182,False,0.14518423889999996,-7.000000000000002,-1.0,stop,2.075302467164375
3PLAND,S1,2025-08-20,2025,0.42857142857142855,0.8181818181818182,False,0.15360933719999997,-7.000000000000004,-1.0,stop,2.0753200194525
3PLAND,S1,2025-08-21,2025,0.42857142857142855,0.8181818181818182,False,0.15539346709999996,-7.000000000000006,-1.0,stop,2.075323736389792
3PLAND,S1,2025-08-22,2025,0.42857142857142855,0.8181818181818182,False,0.15718234259999997,-6.999999999999999,-1.0,stop,2.0753274632137497
3PLAND,S1,2025-08-25,2025,0.42857142857142855,0.8181818181818182,False,0.15867418334999997,-7.000000000000011,-1.0,stop,2.0753305712153125
3PLAND,S2,2025-06-24,2025,0.42857142857142855,0.8181818181818182,False,0.14655069329999995,-7.000000000000013,-1.0,stop,2.075305313944375
3PLAND,S2,2025-06-26,2025,0.42857142857142855,0.8181818181818182,False,0.12092451534999996,-7.000000000000004,-1.0,stop,2.075251926073646
3PLAND,S5,2025-01-15,2025,0.6666666666666666,0.5454545454545454,False,0.27124860819999996,-7.000000000000008,-1.0,stop,2.0755651012670833
3PLAND,S5,2025-07-09,2025,0.42857142857142855,0.8181818181818182,False,0.059926257349999956,-7.000000000000011,-1.0,stop,2.075124846369479
3PLAND,S5,2026-05-12,2026,0.4444444444444444,0.18181818181818182,False,0.015626983149999957,-7.000000000000001,-1.0,stop,1.6932143743967139
AAKASH,S5,2025-03-05,2025,0.5,0.36363636363636365,False,0.1184464386,-7.000000000000004,-1.0,stop,2.0116103997773864
AAKASH,S5,2026-03-04,2026,0.2857142857142857,0.7272727272727273,False,0.26605865134999995,-7.000000000000001,-1.0,stop,1.7326971459998364
AAKASH,S5,2026-07-01,2026,0.42857142857142855,0.45454545454545453,False,0.21805127174999983,-7.000000000000014,-1.0,stop,2.0754542734828125
AARTIIND,S1,2026-06-01,2026,0.3,0.36363636363636365,False,56.45606183525,-7.000000000000011,-1.0,stop,1.8623137651870738
AARTIIND,S1,2026-06-02,2026,0.3,0.36363636363636365,False,52.67828651800001,-7.000000000000002,-1.0,stop,1.854443399942803
AARTIIND,S1,2026-06-03,2026,0.3,0.36363636363636365,False,40.419870163,-7.000000000000011,-1.0,stop,1.828905032536553
AARTIIND,S1,2026-06-15,2026,0.3,0.36363636363636365,False,73.49753502924999,-7.000000000000001,-1.0,stop,1.8696969696969696
AARTIIND,S1,2026-06-16,2026,0.3,0.36363636363636365,False,79.66822556425,2.4937395659432364,0.35624850942046193,timeout,1.8696969696969696
AARTIIND,S1,2026-06-17,2026,0.3,0.36363636363636365,False,82.66562262749999,0.9661835748792248,0.13802622498274625,timeout,1.8696969696969696
AARTIIND,S1,2026-06-18,2026,0.3,0.36363636363636365,False,84.45389558475,1.3725490196078385,0.19607843137254824,timeout,1.8696969696969696
AARTIIND,S1,2026-06-19,2026,0.3,0.36363636363636365,False,83.35573821474999,1.01809954751131,0.1454427925016155,timeout,1.8696969696969696
AARTIIND,S1,2026-06-22,2026,0.3,0.36363636363636365,False,83.76792380974999,3.705658783783774,0.5293798262548242,timeout,1.8696969696969696
AARTIIND,S1,2026-06-23,2026,0.3,0.36363636363636365,False,84.59574004974999,5.272746758118093,0.7532495368740133,timeout,1.8696969696969696
