date,equity,positions,cash
2025-02-19,829795.2292932633,0,829795.2292932633
2025-02-20,829795.2292932633,0,829795.2292932633
2025-02-21,829795.2292932633,0,829795.2292932633
2025-02-24,829795.2292932633,0,829795.2292932633
2025-02-25,829795.2292932633,0,829795.2292932633
2025-02-27,829795.2292932633,0,829795.2292932633
2025-02-28,829795.2292932633,0,829795.2292932633
2025-03-03,829795.2292932633,0,829795.2292932633
2025-03-04,829795.2292932633,0,829795.2292932633
2025-03-05,829795.2292932633,0,829795.2292932633
2025-03-06,829795.2292932633,0,829795.2292932633
2025-03-07,829795.2292932633,0,829795.2292932633
2025-03-10,829795.2292932633,0,829795.2292932633
2025-03-11,829795.2292932633,0,829795.2292932633
2025-03-12,829795.2292932633,0,829795.2292932633
2025-03-13,829795.2292932633,0,829795.2292932633
2025-03-17,829795.2292932633,0,829795.2292932633
2025-03-18,829795.2292932633,0,829795.2292932633
2025-03-19,829795.2292932633,0,829795.2292932633
2025-03-20,829795.2292932633,0,829795.2292932633
2025-03-21,829795.2292932633,0,829795.2292932633
2025-03-24,829242.3074206458,4,233704.05742064584
2025-03-25,826472.7091494121,5,131566.1591494121
2025-03-26,821682.547571412,6,-90.79242858791258
2025-03-27,823358.247571412,6,-90.79242858791258
2025-03-28,828082.777571412,6,-90.79242858791258
2025-04-01,813706.3755713684,6,235770.13557136842
2025-04-02,824539.3573827447,8,5876.797382744728
2025-04-03,814833.0683918397,7,128468.70839183975
2025-04-04,801716.3837235785,6,185717.1137235785
2025-04-07,756248.8796108412,0,756248.8796108412
2025-04-08,756248.8796108412,0,756248.8796108412
2025-04-09,756248.8796108412,0,756248.8796108412
2025-04-11,756248.8796108412,0,756248.8796108412
2025-04-15,756248.8796108412,0,756248.8796108412
2025-04-16,756248.8796108412,0,756248.8796108412
2025-04-17,752712.8462996362,2,522470.2462996362
2025-04-21,758285.9585771688,5,273770.7285771688
2025-04-22,759151.4780768737,8,-27.92192312644329
2025-04-23,765121.6873199235,8,69456.86731992356
2025-04-24,765514.4548520285,8,1062.194852028566
2025-04-25,735450.843660926,6,141973.89366092609
2025-04-28,729673.0439079386,8,-24.416092061372183
2025-04-29,729337.3936974986,8,132.05369749864622
2025-04-30,722744.2000173838,8,1857.7400173836504
2025-05-02,718861.9375265193,7,207172.59752651918
2025-05-05,725768.9188872487,8,98633.67888724868
2025-05-06,723324.9529431297,8,91950.9929431297
2025-05-07,710425.6673990573,6,55804.06739905729
2025-05-08,683301.5429327638,3,425338.84293276386
2025-05-09,681591.0783336938,2,556358.7783336939
2025-05-12,685923.6325357913,6,220428.53253579125
2025-05-13,682323.8240344938,8,133.8240344937949
2025-05-14,683525.4615913304,8,3998.8815913303115
2025-05-15,691869.5615913302,8,3998.8815913303115
2025-05-16,691173.0415913303,8,3998.8815913303115
2025-05-19,684096.5044669373,8,108790.30446693733
2025-05-20,679155.9103279249,8,34684.310327924846
2025-05-21,686741.1103279248,8,34684.310327924846
2025-05-22,682231.2434619374,8,62706.34346193739
2025-05-23,687016.5022537423,8,3147.1822537424027
2025-05-26,680634.7122699165,5,309284.95226991654
2025-05-27,676144.2181533015,8,11774.498153301567
2025-05-28,685215.9909465575,8,25961.590946557462
2025-05-29,689623.9909465574,8,25961.590946557462
2025-05-30,685609.9009247954,8,582.4009247954637
2025-06-02,683597.691269448,8,218.99126944795353
2025-06-03,680173.248903824,8,986.6889038240515
2025-06-04,684880.8589038241,8,986.6889038240515
2025-06-05,686114.8340533191,8,926.0840533190494
2025-06-06,695892.4640533191,8,926.0840533190494
2025-06-09,706925.374053319,8,926.0840533190494
2025-06-10,709627.1835616534,8,18658.523561653332
2025-06-11,706997.6439548659,8,100632.94395486583
2025-06-12,695396.9732338362,8,161020.30323383637
2025-06-13,688389.6988867364,6,316496.0288867364
2025-06-16,693066.4794683526,8,125005.02946835269
2025-06-17,698337.7894683527,8,125005.02946835269
2025-06-18,692149.6211200627,8,96352.99112006271
2025-06-19,683395.1791490202,8,163597.49914902024
2025-06-20,678427.7217299036,7,153983.30172990364
2025-06-23,685630.1786165537,8,71389.19861655364
2025-06-24,694682.6086165537,8,71389.19861655364
2025-06-25,699542.5021959218,8,78392.43219592176
2025-06-26,700773.5321959218,8,78392.43219592176
2025-06-27,697223.2021959218,8,78392.43219592176
2025-06-30,708993.8007042394,8,92074.90070423932
2025-07-01,704368.7267498956,8,55601.926749895574
2025-07-02,695479.2063308456,8,12833.306330845575
2025-07-03,708441.7256436616,8,26956.425643661474
2025-07-04,698480.0908824365,8,94482.46088243651
2025-07-07,688892.548281104,6,182716.06828110397
2025-07-08,685562.3212545615,8,283.64125456154125
2025-07-09,691165.7506876534,8,31452.250687653373
2025-07-10,700702.7106876534,8,31452.250687653373
2025-07-11,695327.0748524584,7,22.504852458427195
2025-07-14,695561.7907307285,7,381.48073072842817
2025-07-15,700826.2007307285,7,381.48073072842817
2025-07-16,702769.6999485575,8,2194.019948557625
2025-07-17,705946.2912570146,8,21991.67125701462
2025-07-18,704837.5428052661,8,11.322805266128853
2025-07-21,715722.8293298746,8,14824.429329874625
2025-07-22,718406.4293298746,8,14824.429329874625
2025-07-23,717619.3108955026,8,299.8108955026255
2025-07-24,710713.712545184,8,97.47254518397676
2025-07-25,683919.462406471,7,745.1624064710195
2025-07-28,686900.9558494128,6,59678.30584941279
2025-07-29,690062.1245556629,5,157267.0745556628
2025-07-30,688559.8328352384,5,176518.18283523835
2025-07-31,676735.8505018546,1,572688.2005018545
2025-08-01,673594.1387461283,0,673594.1387461283
2025-08-04,673594.1387461283,0,673594.1387461283
2025-08-05,673594.1387461283,0,673594.1387461283
2025-08-06,673594.1387461283,0,673594.1387461283
2025-08-07,673594.1387461283,0,673594.1387461283
