symbol,setup_date,entry_date,exit_date,entry,stop,avg_exit,shares,stop_pct,risk_amount,pnl,r_multiple,pnl_pct,holding_bars,exit_reason,mfe_pct,mae_pct,confluence,levels,rs_rank,adr20,partials
POLICYBZR,2024-09-04,2024-09-05,2024-09-06,1749.6243749999999,1709.1,1714.1425000000002,123,2.316175722003185,4984.4981249999955,-4854.220449468697,-0.9738634317308928,-2.2556388371218006,1,ema9_close,0.3072445192700363,-2.2132964968552074,1,ema9,78.58719646799118,5.20926183826818,0
INOXWIND,2024-09-04,2024-09-05,2024-09-09,219.44967,213.91,213.803045,902,2.5243464708787218,4996.782340000001,-5542.6687912695115,-1.1092475945769353,-2.8001252507009977,2,stop,6.0060833083048095,-3.535967951102407,1,ema9,93.15673289183223,5.757526728665137,0
BIKAJI,2024-09-05,2024-09-06,2024-09-06,885.4425,868.0,867.566,285,1.969918995304607,4971.112499999998,-5669.351035874991,-1.140459210262289,-2.2466122616657738,0,stop_same_day,0.2888386315316923,-3.3138797832722027,1,avwap,83.00220750551877,4.494099369933565,0
ECLERX,2024-09-05,2024-09-06,2024-09-06,1462.23075,1435.0,1434.2825,182,1.8622744734372427,4955.99649999999,-5692.821723225,-1.1486734752990668,-2.139145291363897,0,stop_same_day,1.2459900737281104,-3.640379604928972,1,avwap,80.5739514348786,4.491433943301859,0
CONCORDBIO,2024-09-09,2024-09-10,2024-09-26,1863.881475,1821.65,2101.3757495619566,115,2.2657811436212607,4856.619624999979,26787.4363066767,5.51565458591516,12.497266155494703,12,ema9_close,42.92754317975076,-1.1015440238763037,2,"avwap,swing_high",80.3532008830022,4.584948365850683,2
ABSLAMC,2024-09-11,2024-09-12,2024-09-12,744.87225,735.0,734.6325,397,1.3253614965519267,3919.283250000003,-4740.648643612441,-1.2095703069208987,-1.6031179121654557,0,stop_same_day,2.192020175271671,-1.533450870266675,2,"ema9,avwap",71.7439293598234,3.1175426603669343,0
POLYMED,2024-09-11,2024-09-12,2024-09-12,2564.2815,2517.5,2516.24125,105,1.8243511876523717,4912.057500000005,-5657.699372062507,-1.1517982784327139,-2.101284557194679,0,stop_same_day,1.3714757915618767,-2.1168307769642314,1,avwap,91.3907284768212,4.337870764486739,0
PAYTM,2024-09-20,2024-09-23,2024-09-23,670.3850249999999,651.45,651.1242750000001,272,2.8244999953571286,5150.326799999968,-5652.292109039941,-1.0974628074164103,-3.099783694452272,0,stop_same_day,0.8972418499354233,-3.3391296292753454,1,ema9,96.90949227373068,6.277282204528638,0
JMFINANCIL,2024-09-20,2024-09-23,2024-10-07,127.21357499999999,123.2,139.63030524893077,1286,3.1549895520191056,5161.457449999985,15573.279685624822,3.0172252385079465,9.519314103580923,9,ema9_close,23.925453710423596,-0.2857989015716266,1,ema9,94.70198675496688,6.760297522535521,2
PNBHOUSING,2024-09-23,2024-09-24,2024-09-24,1024.161825,1000.95,1000.4495250000001,217,2.2664216175016936,5036.966024999971,-5650.810862392435,-1.1218679725743175,-2.54262582502523,0,stop_same_day,0.37476255278311044,-3.687095542738076,1,ema21,88.30022075055187,6.594387101041429,0
PCBL,2024-09-23,2024-09-24,2024-10-04,527.2635,515.55,544.550001786543,431,2.2215647394519187,5048.518500000029,6919.237907839501,1.3705481930668295,3.044761539436809,7,ema9_close,10.836422396012608,-1.2543064331212008,1,avwap,100.0,4.682117071113443,1
FLUOROCHEM,2024-09-26,2024-09-27,2024-09-27,4302.15,4213.55,4211.443225,56,2.0594353985797675,4961.599999999969,-5627.854803689958,-1.1342822484057549,-2.3359810143474604,0,stop_same_day,0.23709075694712478,-3.0252315702613726,1,ema9,88.74172185430463,4.983636812056318,0
SAPPHIRE,2024-10-15,2024-10-16,2024-10-16,361.1805,354.15,353.972925,711,1.946533658378572,4998.685500000012,-5709.331022951266,-1.142166480157884,-2.2232654970991024,0,stop_same_day,0.0,-1.9880641396753134,2,"ema9,ema21",74.28571428571429,4.71481708864597,0
ECLERX,2024-10-17,2024-10-18,2024-10-18,1517.988615,1486.48,1485.73676,157,2.0756819049001867,4946.852554999994,-5605.863851456262,-1.1332183017644577,-2.352200723274204,0,stop_same_day,0.16214779054848602,-3.356982687251578,1,ema21,84.61538461538461,4.187994996702817,0
CHOICEIN,2024-11-29,2024-12-02,2024-12-17,532.8663,525.0,551.7099990902879,556,1.4762239608697385,4373.662800000013,9783.618608561716,2.2369393928955126,3.3022235308057617,11,ema9_close,6.762240359354678,-1.4199246602759583,2,"ema9,avwap",91.2472647702407,3.191818221762496,1
PAYTM,2024-12-03,2024-12-04,2024-12-20,910.4549999999999,890.7,957.9139761044175,249,2.1697942237672243,4918.994999999971,11282.277593692463,2.2936143650669556,4.97667120087181,12,ema9_close,16.749317648867887,-0.8627554354690682,1,avwap,99.34354485776805,4.9943042940365725,2
VIJAYA,2024-12-03,2024-12-04,2024-12-04,1166.5829999999999,1135.05,1134.482475,156,2.7030224167504504,4919.147999999985,-5420.493046214967,-1.1019170486870864,-2.978506484000692,0,stop_same_day,1.3258379386636099,-3.088764365673073,1,ema9,95.40481400437638,5.93372440394559,0
KAYNES,2024-12-05,2024-12-06,2024-12-06,6287.44215,6182.0,6178.909000000001,5,1.6770277560327114,527.2107499999993,-614.3472691124965,-1.1652783428875404,-1.9542041245262083,0,stop_same_day,0.8756796275254818,-1.8392558888195842,1,avwap,94.54148471615721,4.497142169220051,0
NETWEB,2024-12-05,2024-12-06,2024-12-11,2906.402475,2843.95,2842.528025,80,2.1487896303831784,4996.198000000004,-5638.857605999976,-1.128629731247635,-2.425187863047072,3,stop,4.25259495417957,-2.969391739180921,2,"ema9,avwap",76.41921397379913,5.020991364963273,0
